,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,
Sentence1,he,shocking,shouted,was,What,你这肮脏的掠夺者,停在那儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentence2,a,because,Chinese,couldn,I,isn,mother,my,perhaps,t,t,tongue,understand,word,,,,,,,,,,,,,,,,,,,,,
Sentence3,I,just,Mr,standing,there,was,watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentence4,-,around,furious,he,marching,was,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentence5,anger,at,directing,he,his,me,was,Why,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentence6,about,did,I,know,Little,that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentence7,and,and,Baltic,banking,capital,in,international,investment,is,leading,Markets,markets,Nordea,Nordic,operator,partner,regions,Sea,the,the,,,,,,,,,,,,,,,
Sentence8,are,connecting,door,global,located,markets,next,the,to,to,We,you,you,,,,,,,,,,,,,,,,,,,,,,
Sentence9,a,and,combine,complete,expertise,financial,global,local,of,portfolio,provide,services,solutions,strength,to,We,with,with,you,,,,,,,,,,,,,,,,
Sentence10,and,currencies,diversified,have,in,in,liquidity,local,most,Nordics,of,offer,one,outstanding,product,ranges,strongest,the,the,We,,,,,,,,,,,,,,,
Sentence11,access,all,an,best,But,capital,dedicated,experts,facets,in,in,manner,markets,more,of,of,offer,possible,serving,significantly,team,the,to,to,unequalled,we,you,you,,,,,,,
Sentence12,a,a,and,and,At,combination,customer,expertise,financial,for,gives,global,have,local,Markets,Nordea,of,of,opportunity,our,rare,services,solutions,strength,the,to,us,use,variety,we,which,wide,you,,
Sentence13,(and,-,a,a,all,and,as,as,can,currencies,diversified,excellent,fact,finding,give,hard,have,In,in,in,liquidity,local,Nordics,of,ours,product,range,strong,the,time,too),we,you,you’d,
Sentence14,a,be,But,challenge,financial,have,huge,importantly,matter,might,most,no,of,outstanding,ready,serve,specialists,team,to,we,what,you,your,,,,,,,,,,,,
